,ExpNum,CodeExclu,Estimate,Cat
0,E10,K,0.7391379728322698,0
1,E10,KK,0.577814720532859,0
2,E10,KKK,0.5791061953600815,0
3,E10,KKKK,0.5766458243080184,0
4,E10,PC,0.7244951048986096,0
5,E10,PCPC,0.6828169893744835,0
6,E10,PE12,0.6678317962888186,0
7,E10,PE13,0.672169869860947,0
8,E10,PE8,0.6169511396302616,0
9,E10,PE9,0.620762958243548,0
10,E10,PPE13,0.6980174814542229,0
11,E10,PPPE13,0.5664994714955305,0
12,E10,T,0.6947524360272861,0
13,E10,TT,0.760955524836977,0
14,E10,TTT,0.5589244677216851,0
15,E11,K,0.7391379728322698,0
16,E11,KK,0.577814720532859,0
17,E11,KKK,0.5791061953600815,0
18,E11,KKKK,0.5766458243080184,0
19,E11,PC,0.7244951048986096,0
20,E11,PCPC,0.6828169893744835,0
21,E11,PE12,0.6678317962888186,0
22,E11,PE13,0.672169869860947,0
23,E11,PE8,0.6169511396302616,0
24,E11,PE9,0.620762958243548,0
25,E11,PPE13,0.6980174814542229,0
26,E11,PPPE13,0.5664994714955305,0
27,E11,T,0.6947524360272861,0
28,E11,TT,0.760955524836977,0
29,E11,TTT,0.5589244677216851,0
30,E12,K,0.7391379728322698,0
31,E12,KK,0.577814720532859,0
32,E12,KKK,0.5791061953600815,0
33,E12,KKKK,0.5766458243080184,0
34,E12,PC,0.7244951048986096,0
35,E12,PCPC,0.6828169893744835,0
36,E12,PE12,0.6678317962888186,0
37,E12,PE13,0.672169869860947,0
38,E12,PE8,0.6169511396302616,0
39,E12,PE9,0.620762958243548,0
40,E12,PPE13,0.6980174814542229,0
41,E12,PPPE13,0.5664994714955305,0
42,E12,T,0.6947524360272861,0
43,E12,TT,0.760955524836977,0
44,E12,TTT,0.5589244677216851,0
45,E13,K,0.7391379728322698,0
46,E13,KK,0.577814720532859,0
47,E13,KKK,0.5791061953600815,0
48,E13,KKKK,0.5766458243080184,0
49,E13,PC,0.7244951048986096,0
50,E13,PCPC,0.6828169893744835,0
51,E13,PE12,0.6678317962888186,0
52,E13,PE13,0.672169869860947,0
53,E13,PE8,0.6169511396302616,0
54,E13,PE9,0.620762958243548,0
55,E13,PPE13,0.6980174814542229,0
56,E13,PPPE13,0.5664994714955305,0
57,E13,T,0.6947524360272861,0
58,E13,TT,0.760955524836977,0
59,E13,TTT,0.5589244677216851,0
60,E8,K,0.7391379728322698,0
61,E8,KK,0.577814720532859,0
62,E8,KKK,0.5791061953600815,0
63,E8,KKKK,0.5766458243080184,0
64,E8,PC,0.7244951048986096,0
65,E8,PCPC,0.6828169893744835,0
66,E8,PE12,0.6678317962888186,0
67,E8,PE13,0.672169869860947,0
68,E8,PE8,0.6169511396302616,0
69,E8,PE9,0.620762958243548,0
70,E8,PPE13,0.6980174814542229,0
71,E8,PPPE13,0.5664994714955305,0
72,E8,T,0.6947524360272861,0
73,E8,TT,0.760955524836977,0
74,E8,TTT,0.5589244677216851,0
75,E9,K,0.7391379728322698,0
76,E9,KK,0.577814720532859,0
77,E9,KKK,0.5791061953600815,0
78,E9,KKKK,0.5766458243080184,0
79,E9,PC,0.7244951048986096,0
80,E9,PCPC,0.6828169893744835,0
81,E9,PE12,0.6678317962888186,0
82,E9,PE13,0.672169869860947,0
83,E9,PE8,0.6169511396302616,0
84,E9,PE9,0.620762958243548,0
85,E9,PPE13,0.6980174814542229,0
86,E9,PPPE13,0.5664994714955305,0
87,E9,T,0.6947524360272861,0
88,E9,TT,0.760955524836977,0
89,E9,TTT,0.5589244677216851,0
0,E10,K,0.7632674248510861,1
1,E10,KK,0.5860347300431286,1
2,E10,KKK,0.5457168587763276,1
3,E10,KKKK,0.6427758381031868,1
4,E10,PC,0.7268733136390996,1
5,E10,PCPC,0.8053219690579994,1
6,E10,PE12,0.786267484897368,1
7,E10,PE13,0.7543779616777867,1
8,E10,PE8,0.5584672537846618,1
9,E10,PE9,0.6242226432772716,1
10,E10,PPE13,0.800167760254375,1
11,E10,PPPE13,0.4985845452044099,1
12,E10,T,0.7505323223880985,1
13,E10,TT,0.7878159133409847,1
14,E10,TTT,0.571446406771074,1
15,E11,K,0.7632674248510861,1
16,E11,KK,0.5860347300431286,1
17,E11,KKK,0.5457168587763276,1
18,E11,KKKK,0.6427758381031868,1
19,E11,PC,0.7268733136390996,1
20,E11,PCPC,0.8053219690579994,1
21,E11,PE12,0.786267484897368,1
22,E11,PE13,0.7543779616777867,1
23,E11,PE8,0.5584672537846618,1
24,E11,PE9,0.6242226432772716,1
25,E11,PPE13,0.800167760254375,1
26,E11,PPPE13,0.4985845452044099,1
27,E11,T,0.7505323223880985,1
28,E11,TT,0.7878159133409847,1
29,E11,TTT,0.571446406771074,1
30,E12,K,0.7632674248510861,1
31,E12,KK,0.5860347300431286,1
32,E12,KKK,0.5457168587763276,1
33,E12,KKKK,0.6427758381031868,1
34,E12,PC,0.7268733136390996,1
35,E12,PCPC,0.8053219690579994,1
36,E12,PE12,0.786267484897368,1
37,E12,PE13,0.7543779616777867,1
38,E12,PE8,0.5584672537846618,1
39,E12,PE9,0.6242226432772716,1
40,E12,PPE13,0.800167760254375,1
41,E12,PPPE13,0.4985845452044099,1
42,E12,T,0.7505323223880985,1
43,E12,TT,0.7878159133409847,1
44,E12,TTT,0.571446406771074,1
45,E13,K,0.7632674248510861,1
46,E13,KK,0.5860347300431286,1
47,E13,KKK,0.5457168587763276,1
48,E13,KKKK,0.6427758381031868,1
49,E13,PC,0.7268733136390996,1
50,E13,PCPC,0.8053219690579994,1
