,pj,Weight,ExpNum,CodeExclu,pi
0,0.4267316997552947,0.0,E8,PE8,0.4267316997552947
1,0.6038426006085206,-0.0,E8,PE8,0.4267316997552947
2,0.7462065729800312,1.0,E8,PE8,0.4267316997552947
3,0.4267316997552947,0.0,E8,T,0.4267316997552947
4,0.6038426006085206,1.0,E8,T,0.4267316997552947
5,0.7462065729800312,-0.0,E8,T,0.4267316997552947
6,0.4267316997552947,0.0,E9,PE9,0.4267316997552947
7,0.6038426006085206,-0.0,E9,PE9,0.4267316997552947
8,0.7462065729800312,-0.0,E9,PE9,0.4267316997552947
9,0.883915476054874,1.0,E9,PE9,0.4267316997552947
10,0.4267316997552947,0.0,E10,PE9,0.4267316997552947
11,0.6038426006085206,1.0,E10,PE9,0.4267316997552947
12,0.7462065729800312,-0.0,E10,PE9,0.4267316997552947
13,0.883915476054874,-0.0,E10,PE9,0.4267316997552947
14,0.4267316997552947,0.0,E10,T,0.4267316997552947
15,0.6038426006085206,0.0,E10,T,0.4267316997552947
16,0.7462065729800312,0.0,E10,T,0.4267316997552947
17,0.883915476054874,1.0,E10,T,0.4267316997552947
18,0.4267316997552947,0.0,E10,PC,0.4267316997552947
19,0.6038426006085206,0.0,E10,PC,0.4267316997552947
20,0.7462065729800312,1.0,E10,PC,0.4267316997552947
21,0.883915476054874,0.0,E10,PC,0.4267316997552947
22,0.4267316997552947,0.30810810810810807,E12,PE12,0.4267316997552947
23,0.6038426006085206,0.20540540540540544,E12,PE12,0.4267316997552947
24,0.7462065729800312,0.4864864864864865,E12,PE12,0.4267316997552947
25,0.883915476054874,-0.0,E12,PE12,0.4267316997552947
26,0.4267316997552947,0.0,E12,T,0.4267316997552947
27,0.6038426006085206,0.0,E12,T,0.4267316997552947
28,0.7462065729800312,0.0,E12,T,0.4267316997552947
29,0.883915476054874,1.0,E12,T,0.4267316997552947
30,0.4267316997552947,0.0,E12,PC,0.4267316997552947
31,0.6038426006085206,0.0,E12,PC,0.4267316997552947
32,0.7462065729800312,0.0,E12,PC,0.4267316997552947
33,0.883915476054874,1.0,E12,PC,0.4267316997552947
34,0.4267316997552947,0.8113207547169813,E13,KK,0.4267316997552947
35,0.6038426006085206,0.18867924528301888,E13,KK,0.4267316997552947
36,0.7462065729800312,-0.0,E13,KK,0.4267316997552947
37,0.4267316997552947,0.484848484848485,E13,KKK,0.4267316997552947
38,0.6038426006085206,0.32323232323232326,E13,KKK,0.4267316997552947
39,0.7462065729800312,0.1919191919191919,E13,KKK,0.4267316997552947
40,0.883915476054874,-0.0,E13,KKK,0.4267316997552947
41,0.4267316997552947,0.07741935483870968,E13,KKKK,0.4267316997552947
42,0.6038426006085206,0.25161290322580643,E13,KKKK,0.4267316997552947
43,0.7462065729800312,0.16774193548387092,E13,KKKK,0.4267316997552947
44,0.883915476054874,0.5032258064516129,E13,KKKK,0.4267316997552947
45,0.4267316997552947,0.5188679245283018,E13,PPPE13,0.4267316997552947
46,0.6038426006085206,0.252021563342318,E13,PPPE13,0.4267316997552947
47,0.7462065729800312,0.22911051212938002,E13,PPPE13,0.4267316997552947
48,0.883915476054874,-0.0,E13,PPPE13,0.4267316997552947
49,0.4267316997552947,0.0,E13,K,0.4267316997552947
50,0.6038426006085206,-0.0,E13,K,0.4267316997552947
51,0.7462065729800312,0.20588235294117643,E13,K,0.4267316997552947
52,0.883915476054874,0.7941176470588234,E13,K,0.4267316997552947
53,0.4267316997552947,0.0,E13,TT,0.4267316997552947
54,0.6038426006085206,-0.0,E13,TT,0.4267316997552947
55,0.7462065729800312,-0.0,E13,TT,0.4267316997552947
56,0.883915476054874,1.0,E13,TT,0.4267316997552947
57,0.4267316997552947,0.0,E13,PPE13,0.4267316997552947
58,0.6038426006085206,-0.0,E13,PPE13,0.4267316997552947
59,0.7462065729800312,0.6,E13,PPE13,0.4267316997552947
60,0.883915476054874,0.4,E13,PPE13,0.4267316997552947
61,0.4267316997552947,1.1842378929335003e-16,E13,PCPC,0.4267316997552947
62,0.6038426006085206,0.30077120822622117,E13,PCPC,0.4267316997552947
63,0.7462065729800312,0.13110539845758357,E13,PCPC,0.4267316997552947
64,0.883915476054874,0.5681233933161954,E13,PCPC,0.4267316997552947
65,0.4267316997552947,0.0,E13,PE13,0.4267316997552947
66,0.6038426006085206,0.19867549668874168,E13,PE13,0.4267316997552947
67,0.7462065729800312,0.4370860927152317,E13,PE13,0.4267316997552947
68,0.883915476054874,0.3642384105960264,E13,PE13,0.4267316997552947
69,0.4267316997552947,0.2985141828005403,E13,TTT,0.4267316997552947
70,0.6038426006085206,0.14542998649257094,E13,TTT,0.4267316997552947
71,0.7462065729800312,0.5560558307068888,E13,TTT,0.4267316997552947
72,0.4267316997552947,0.0,E13,T,0.4267316997552947
73,0.6038426006085206,0.1818181818181818,E13,T,0.4267316997552947
74,0.7462065729800312,0.2727272727272727,E13,T,0.4267316997552947
75,0.883915476054874,0.5454545454545454,E13,T,0.4267316997552947
76,0.4267316997552947,0.0,E13,PC,0.4267316997552947
77,0.6038426006085206,1.0,E13,PC,0.4267316997552947
78,0.7462065729800312,-0.0,E13,PC,0.4267316997552947
79,0.883915476054874,-0.0,E13,PC,0.4267316997552947
80,0.4267316997552947,0.4000000000000001,E11,PE9,0.4267316997552947
81,0.6038426006085206,-0.0,E11,PE9,0.4267316997552947
82,0.7462065729800312,0.6000000000000001,E11,PE9,0.4267316997552947
83,0.883915476054874,-0.0,E11,PE9,0.4267316997552947
84,0.4267316997552947,0.6666666666666666,E11,T,0.4267316997552947
